#WALK_BEGIN secs=6 hz=50 vx=100.0 ids=9-8
t_ms,set9,now9,err9,cur9,duty9,set8,now8,err8,cur8,duty8
878,151.4,143.0,8.1,149,29.4,138.2,130.6,7.5,390,29.6
886,150.3,146.6,3.2,41,8.8,146.9,131.7,15.0,709,53.1
908,145.6,152.3,-6.8,-261,-22.1,148.8,139.7,9.1,192,34.7
938,142.2,147.9,-5.7,-162,-17.9,146.9,148.3,-1.5,-84,-6.5
946,141.1,146.5,-5.2,-158,-17.4,145.6,148.8,-3.2,-152,-11.5
968,140.1,143.4,-3.3,-117,-9.1,144.3,146.9,-2.6,-108,-8.1
998,137.7,140.8,-3.1,-115,-9.0,141.6,144.5,-2.9,-122,-8.9
1006,136.4,140.4,-3.9,-154,-12.0,140.3,143.7,-3.4,-141,-10.4
1028,135.3,138.1,-2.7,-97,-7.8,139.3,141.5,-2.2,-88,-6.6
1058,132.9,136.3,-3.3,-121,-9.5,136.9,139.3,-2.4,-99,-7.4
1066,131.6,135.1,-3.5,-135,-10.6,135.6,138.8,-3.2,-136,-10.0
1088,130.3,133.8,-3.5,-131,-10.3,134.8,137.0,-2.1,-85,-6.3
1118,127.7,131.2,-3.5,-131,-10.3,132.7,134.7,-2.0,-85,-6.4
1127,126.3,130.7,-4.4,-175,-13.6,131.6,134.4,-2.8,-121,-9.1
1148,125.0,128.6,-3.6,-128,-10.1,130.6,132.4,-1.8,-73,-5.4
1178,127.7,126.2,1.6,43,6.9,132.7,130.5,2.2,122,9.3
1186,135.3,126.0,9.4,368,30.4,130.0,130.4,-0.5,-0,-4.5
1208,142.7,129.1,13.4,440,42.8,129.0,131.7,-2.7,-124,-9.4
1238,151.4,143.0,8.1,150,29.4,138.2,130.5,7.9,394,29.9
1246,150.3,146.7,3.1,43,8.1,146.9,131.7,15.1,708,53.1
1268,145.6,152.3,-6.6,-269,-22.4,148.8,139.6,9.2,203,35.1
1298,142.2,147.9,-5.7,-162,-18.1,146.9,148.3,-1.5,-83,-6.5
1308,141.1,146.0,-4.8,-153,-15.2,145.6,148.9,-3.3,-152,-11.3
1328,140.1,143.5,-3.3,-119,-9.3,144.3,147.0,-2.6,-109,-8.2
1358,137.7,140.8,-3.1,-113,-8.9,141.6,144.6,-2.9,-122,-9.0
1366,136.4,140.4,-4.0,-158,-12.3,140.3,143.7,-3.3,-143,-10.5
1388,135.3,138.1,-2.8,-99,-7.9,139.3,141.5,-2.2,-88,-6.6
1418,132.9,136.3,-3.4,-124,-9.6,136.9,139.3,-2.3,-99,-7.3
1426,131.6,135.1,-3.5,-135,-10.5,135.6,138.7,-3.1,-133,-9.9
1448,130.3,133.9,-3.5,-134,-10.5,134.8,136.9,-2.1,-86,-6.3
1478,127.7,131.2,-3.5,-131,-10.3,132.7,134.7,-2.0,-85,-6.4
1488,126.3,130.7,-4.4,-172,-13.4,131.6,134.4,-2.8,-119,-8.8
1508,125.0,128.6,-3.6,-127,-10.1,130.6,132.5,-1.9,-74,-5.5
1538,127.7,126.1,1.6,35,6.8,132.7,130.5,2.2,122,9.3
1546,135.3,125.9,9.4,371,30.7,130.0,130.4,-0.5,-0,-4.5
1568,142.7,129.0,13.5,474,44.1,129.0,131.7,-2.7,-124,-9.4
1598,151.4,142.9,8.3,154,29.6,138.2,130.7,7.7,391,29.7
1606,150.3,146.6,3.2,41,8.9,146.9,131.7,15.1,709,53.2
1628,145.6,152.4,-6.7,-261,-22.1,148.8,139.7,9.1,193,34.7
1658,142.2,147.9,-5.6,-162,-17.9,146.9,148.4,-1.5,-85,-6.6
1666,141.1,146.5,-5.3,-160,-17.5,145.6,148.9,-3.3,-154,-11.6
1688,140.1,143.4,-3.2,-119,-9.2,144.3,146.9,-2.6,-108,-8.1
1718,137.7,140.8,-3.1,-115,-9.0,141.6,144.5,-2.9,-121,-8.9
1726,136.4,140.4,-4.0,-155,-12.0,140.3,143.7,-3.4,-141,-10.4
1748,135.3,138.1,-2.7,-97,-7.8,139.3,141.5,-2.2,-88,-6.6
1778,132.9,136.3,-3.4,-121,-9.6,136.9,139.3,-2.4,-100,-7.4
1786,131.6,135.1,-3.5,-137,-10.7,135.6,138.8,-3.2,-135,-10.0
1808,130.3,133.9,-3.5,-133,-10.4,134.8,136.9,-2.1,-85,-6.3
1838,127.7,131.2,-3.5,-130,-10.3,132.7,134.7,-2.0,-85,-6.4
1846,126.3,130.8,-4.5,-178,-13.9,131.6,134.5,-2.8,-123,-9.2
1868,125.0,128.6,-3.6,-128,-10.0,130.6,132.4,-1.8,-72,-5.4
1898,127.7,126.1,1.6,44,6.9,132.7,130.5,2.2,123,9.3
1906,135.3,126.0,9.4,373,30.8,130.0,130.4,-0.5,-0,-4.4
1928,142.7,129.1,13.4,440,42.8,129.0,131.7,-2.7,-124,-9.4
1958,151.4,143.0,8.1,151,29.4,138.2,130.5,7.7,391,29.7
1966,150.3,146.6,3.1,44,8.1,146.9,131.7,15.1,709,53.1
1988,145.6,152.2,-6.7,-272,-22.6,148.8,139.4,9.0,198,34.9
2018,142.2,147.8,-5.7,-165,-17.8,146.9,148.4,-1.5,-84,-6.6
2028,141.1,146.0,-4.8,-155,-15.1,145.6,149.0,-3.3,-153,-11.3
2048,140.1,143.5,-3.4,-119,-9.4,144.3,147.0,-2.6,-109,-8.2
2078,137.7,140.8,-3.1,-114,-9.0,141.6,144.6,-2.9,-122,-9.0
2086,136.4,140.4,-4.0,-158,-12.3,140.3,143.7,-3.4,-142,-10.5
2108,135.3,138.1,-2.8,-98,-7.8,139.3,141.5,-2.2,-88,-6.6
2138,132.9,136.3,-3.4,-125,-9.8,136.9,139.3,-2.3,-98,-7.3
2146,131.6,135.1,-3.5,-132,-10.4,135.6,138.6,-2.9,-126,-9.3
2168,130.3,133.9,-3.5,-130,-10.3,134.8,136.9,-2.1,-85,-6.3
2198,127.7,131.2,-3.5,-131,-10.3,132.7,134.7,-2.0,-85,-6.4
2208,126.3,130.7,-4.4,-172,-13.4,131.6,134.4,-2.7,-119,-8.9
2228,125.0,128.6,-3.6,-126,-10.1,130.6,132.5,-1.9,-74,-5.5
2258,127.7,126.1,1.6,28,6.6,132.7,130.5,2.2,122,9.3
2266,135.3,126.0,9.4,367,30.3,130.0,130.5,-0.4,-0,-4.4
2288,142.7,129.0,13.5,473,44.2,129.0,131.7,-2.7,-123,-9.4
2318,151.4,142.9,8.3,150,29.6,138.2,130.7,7.5,389,29.6
2326,150.3,146.5,3.4,43,9.3,146.9,131.7,15.1,710,53.2
2348,145.6,152.3,-6.7,-263,-22.2,148.8,139.5,9.1,192,34.5
2378,142.2,147.8,-5.7,-162,-18.0,146.9,148.3,-1.4,-81,-6.3
2386,141.1,146.5,-5.3,-164,-17.6,145.6,148.9,-3.2,-150,-11.3
2408,140.1,143.4,-3.3,-118,-9.2,144.3,146.9,-2.6,-110,-8.2
2438,137.7,140.8,-3.1,-115,-9.0,141.6,144.5,-2.9,-121,-8.9
2446,136.4,140.4,-3.9,-154,-12.0,140.3,143.7,-3.3,-141,-10.4
2468,135.3,138.1,-2.8,-97,-7.8,139.3,141.5,-2.2,-88,-6.6
2498,132.9,136.3,-3.4,-127,-9.9,136.9,139.3,-2.4,-99,-7.3
2506,131.6,135.2,-3.5,-136,-10.6,135.6,138.8,-3.1,-135,-10.0
2528,130.3,133.9,-3.5,-129,-10.2,134.8,136.9,-2.1,-85,-6.3
2558,127.7,131.2,-3.5,-129,-10.2,132.7,134.7,-2.0,-85,-6.4
2566,126.3,130.8,-4.5,-177,-13.8,131.6,134.5,-2.8,-123,-9.2
2588,125.0,128.6,-3.6,-128,-10.0,130.6,132.4,-1.8,-73,-5.4
2618,127.7,126.1,1.6,38,6.8,132.7,130.5,2.2,122,9.3
2626,135.3,126.0,9.4,366,29.8,130.0,130.4,-0.4,-0,-4.4
2648,142.7,129.1,13.4,435,42.7,129.0,131.7,-2.7,-124,-9.4
2678,151.4,142.9,8.2,153,29.6,138.2,130.7,7.7,391,29.8
2686,150.3,146.4,3.4,44,9.2,146.9,131.7,15.1,709,53.2
2708,145.6,152.3,-6.7,-265,-22.2,148.8,139.3,9.6,204,35.1
2738,142.2,147.8,-5.7,-164,-17.9,146.9,148.3,-1.5,-83,-6.5
2748,141.1,146.1,-4.8,-157,-15.0,145.6,148.9,-3.2,-152,-11.3
2768,140.1,143.5,-3.4,-124,-9.6,144.3,147.0,-2.6,-110,-8.2
2798,137.7,140.8,-3.1,-113,-9.0,141.6,144.6,-2.9,-122,-9.0
2806,136.4,140.4,-4.0,-158,-12.2,140.3,143.7,-3.3,-141,-10.4
2828,135.3,138.1,-2.8,-100,-7.9,139.3,141.5,-2.1,-88,-6.6
2858,132.9,136.3,-3.4,-126,-9.8,136.9,139.3,-2.3,-99,-7.3
2866,131.6,135.1,-3.5,-135,-10.6,135.6,138.7,-3.1,-134,-9.9
2888,130.3,133.9,-3.6,-135,-10.6,134.8,137.0,-2.1,-86,-6.4
2918,127.7,131.2,-3.5,-132,-10.4,132.7,134.7,-2.0,-85,-6.4
2928,126.3,130.7,-4.4,-172,-13.5,131.6,134.4,-2.8,-119,-8.9
2948,125.0,128.6,-3.6,-127,-10.1,130.6,132.5,-1.9,-74,-5.5
2978,127.7,126.1,1.6,28,6.6,132.7,130.5,2.2,122,9.3
2986,135.3,126.0,9.5,367,30.3,130.0,130.5,-0.5,-0,-4.5
3008,142.7,129.0,13.6,472,44.0,129.0,131.7,-2.7,-123,-9.4
3038,151.4,142.8,8.3,153,29.6,138.2,130.7,7.6,390,29.6
3046,150.3,146.3,3.5,45,10.3,146.9,131.7,15.1,708,53.2
3068,145.6,152.3,-6.7,-261,-23.1,148.8,139.8,8.8,190,34.0
3098,142.2,148.0,-5.7,-163,-18.0,146.9,148.3,-1.5,-82,-6.5
3106,141.1,146.5,-5.4,-167,-17.7,145.6,148.9,-3.2,-154,-11.6
3128,140.1,143.5,-3.3,-118,-9.3,144.3,146.9,-2.6,-109,-8.2
3158,137.7,140.8,-3.1,-115,-8.9,141.6,144.5,-2.9,-121,-8.9
3166,136.4,140.4,-4.0,-156,-12.1,140.3,143.7,-3.3,-140,-10.4
3188,135.3,138.1,-2.7,-97,-7.8,139.3,141.5,-2.2,-88,-6.6
3218,132.9,136.3,-3.3,-126,-9.9,136.9,139.3,-2.4,-99,-7.3
3226,131.6,135.1,-3.5,-135,-10.5,135.6,138.7,-3.1,-135,-10.0
3248,130.3,133.9,-3.5,-130,-10.3,134.8,137.0,-2.1,-85,-6.4
3278,127.7,131.2,-3.5,-129,-10.2,132.7,134.7,-2.0,-85,-6.4
3286,126.3,130.8,-4.5,-177,-13.8,131.6,134.5,-2.8,-123,-9.2
3308,125.0,128.6,-3.6,-127,-10.0,130.6,132.4,-1.8,-72,-5.4
3338,127.7,126.1,1.6,32,6.8,132.7,130.5,2.2,122,9.3
3346,135.3,126.0,9.5,364,29.9,130.0,130.5,-0.5,-0,-4.4
3368,142.7,129.1,13.4,441,43.1,129.0,131.7,-2.7,-124,-9.4
3398,151.4,143.1,8.0,153,29.2,138.2,130.5,7.9,395,29.9
3407,150.3,146.4,3.3,46,8.7,146.9,131.7,15.1,709,53.3
3428,145.6,152.3,-6.7,-263,-22.1,148.8,139.1,9.5,204,35.6
3458,142.2,147.9,-5.7,-163,-18.0,146.9,148.2,-1.4,-81,-6.4
3468,141.1,146.1,-4.9,-160,-15.3,145.6,149.0,-3.2,-153,-11.4
3488,140.1,143.5,-3.4,-120,-9.4,144.3,147.0,-2.7,-110,-8.2
3518,137.7,140.9,-3.1,-113,-9.0,141.6,144.6,-2.9,-123,-9.1
3526,136.4,140.4,-4.0,-158,-12.3,140.3,143.7,-3.4,-143,-10.6
3548,135.3,138.1,-2.8,-98,-7.8,139.3,141.5,-2.2,-88,-6.6
3578,132.9,136.3,-3.4,-125,-9.8,136.9,139.3,-2.3,-98,-7.3
3586,131.6,135.1,-3.5,-135,-10.5,135.6,138.7,-3.1,-133,-9.9
3608,130.3,133.9,-3.6,-134,-10.6,134.8,137.0,-2.1,-86,-6.4
3638,127.7,131.2,-3.5,-132,-10.4,132.7,134.7,-2.0,-85,-6.4
3648,126.3,130.7,-4.4,-172,-13.4,131.6,134.4,-2.8,-119,-8.9
3668,125.0,128.6,-3.6,-131,-10.3,130.6,132.5,-1.8,-73,-5.5
3698,127.7,126.1,1.6,25,6.5,132.7,130.5,2.2,122,9.3
3707,135.3,126.0,9.4,366,30.3,130.0,130.5,-0.5,-0,-4.5
3728,142.7,128.8,13.7,476,44.3,129.0,131.7,-2.7,-123,-9.4
3758,151.4,142.8,8.4,156,29.9,138.2,130.6,7.7,390,29.7
3766,150.3,146.2,3.6,44,10.7,146.9,131.6,15.2,710,53.3
3788,145.6,152.3,-6.6,-271,-22.4,148.8,139.7,8.9,198,34.5
3818,142.2,147.9,-5.8,-165,-18.0,146.9,148.3,-1.5,-83,-6.5
3826,141.1,146.5,-5.4,-165,-17.7,145.6,148.8,-3.2,-153,-11.5
3848,140.1,143.5,-3.3,-118,-9.3,144.3,146.9,-2.6,-109,-8.1
3878,137.7,140.8,-3.1,-115,-9.0,141.6,144.6,-2.9,-122,-8.9
3886,136.4,140.4,-4.0,-157,-12.1,140.3,143.6,-3.3,-140,-10.3
3908,135.3,138.1,-2.7,-101,-8.0,139.3,141.5,-2.1,-88,-6.6
3938,132.9,136.3,-3.3,-126,-9.8,136.9,139.3,-2.4,-100,-7.3
3946,131.6,135.1,-3.5,-135,-10.5,135.6,138.8,-3.1,-134,-9.9
3968,130.3,133.9,-3.5,-129,-10.3,134.8,137.0,-2.1,-86,-6.4
3998,127.7,131.2,-3.5,-130,-10.3,132.7,134.7,-2.0,-85,-6.4
4006,126.3,130.8,-4.5,-177,-13.8,131.6,134.5,-2.8,-123,-9.2
4028,125.0,128.6,-3.6,-128,-10.0,130.6,132.5,-1.8,-73,-5.4
4058,127.7,126.2,1.6,32,6.8,132.7,130.5,2.2,122,9.3
4066,135.3,126.0,9.4,363,29.8,130.0,130.5,-0.5,-0,-4.5
4088,142.7,129.1,13.4,451,43.0,129.0,131.7,-2.7,-124,-9.4
4118,151.4,142.7,8.4,160,30.3,138.2,130.6,7.5,387,29.6
4126,150.3,145.9,3.4,44,10.7,146.9,131.6,15.1,709,53.2
4148,145.6,152.2,-6.7,-259,-22.0,148.8,139.4,8.2,199,34.8
4178,142.2,147.8,-5.7,-171,-18.0,146.9,148.3,-1.5,-84,-6.5
4188,141.1,146.1,-4.9,-161,-15.1,145.6,148.9,-3.2,-152,-11.2
4208,140.1,143.5,-3.4,-124,-9.7,144.3,146.9,-2.6,-109,-8.2
4238,137.7,140.9,-3.1,-117,-9.1,141.6,144.5,-2.9,-122,-8.9
4246,136.4,140.4,-4.0,-157,-12.2,140.3,143.7,-3.3,-141,-10.4
4268,135.3,138.1,-2.8,-97,-7.9,139.3,141.5,-2.1,-87,-6.6
4298,132.9,136.3,-3.3,-130,-9.8,136.9,139.2,-2.3,-95,-7.0
4307,131.6,135.1,-3.5,-130,-10.2,135.6,138.7,-3.0,-129,-9.6
4328,130.3,133.9,-3.6,-135,-10.6,134.8,137.0,-2.2,-87,-6.5
4358,127.7,131.2,-3.5,-131,-10.3,132.7,134.7,-2.0,-85,-6.3
4368,126.3,130.7,-4.4,-171,-13.4,131.6,134.4,-2.8,-118,-8.9
4388,125.0,128.6,-3.6,-132,-10.4,130.6,132.5,-1.8,-74,-5.5
4418,127.7,126.2,1.6,17,6.6,132.7,130.5,2.2,121,9.2
4426,135.3,126.0,9.4,354,29.6,130.0,130.5,-0.5,-0,-4.4
4448,142.7,128.9,13.6,464,43.9,129.0,131.7,-2.7,-124,-9.4
4478,151.4,142.8,8.4,163,30.0,138.2,130.5,7.6,389,29.6
4486,150.3,146.4,3.6,44,10.0,146.9,131.6,15.2,711,53.3
4508,145.6,152.2,-6.6,-278,-23.1,148.8,139.7,9.2,207,35.1
4538,142.2,147.9,-5.7,-164,-17.9,146.9,148.3,-1.5,-84,-6.5
4546,141.1,146.6,-5.5,-168,-17.7,145.6,148.8,-3.2,-152,-11.5
4568,140.1,143.5,-3.3,-118,-9.2,144.3,146.9,-2.6,-109,-8.2
4598,137.7,140.8,-3.1,-115,-9.0,141.6,144.5,-2.9,-122,-8.9
4606,136.4,140.4,-3.9,-157,-12.1,140.3,143.7,-3.3,-141,-10.4
4628,135.3,138.1,-2.8,-100,-7.9,139.3,141.5,-2.2,-88,-6.6
4658,132.9,136.3,-3.3,-126,-9.9,136.9,139.3,-2.4,-99,-7.3
4666,131.6,135.1,-3.5,-135,-10.5,135.6,138.8,-3.1,-134,-9.9
4688,130.3,133.8,-3.5,-131,-10.3,134.8,137.0,-2.1,-85,-6.3
4718,127.7,131.2,-3.5,-130,-10.2,132.7,134.7,-2.0,-85,-6.4
4726,126.3,130.8,-4.5,-178,-13.8,131.6,134.5,-2.9,-124,-9.2
4748,125.0,128.6,-3.6,-128,-10.1,130.6,132.4,-1.8,-72,-5.4
4778,127.7,126.2,1.6,32,6.8,132.7,130.5,2.2,123,9.3
4786,135.3,126.0,9.4,361,30.2,130.0,130.4,-0.4,-0,-4.3
4808,142.7,129.1,13.4,457,43.3,129.0,131.7,-2.7,-124,-9.4
4838,151.4,142.7,8.4,158,30.0,138.2,130.7,7.6,389,29.7
4846,150.3,146.0,3.5,45,10.8,146.9,131.6,15.2,710,53.4
4868,145.6,152.3,-6.7,-259,-22.1,148.8,140.1,9.1,203,34.8
4898,142.2,148.0,-5.7,-166,-18.0,146.9,148.3,-1.4,-82,-6.4
4908,141.1,146.2,-4.9,-163,-15.2,145.6,148.9,-3.2,-151,-11.2
4928,140.1,143.5,-3.4,-121,-9.5,144.3,147.0,-2.6,-110,-8.3
4958,137.7,140.9,-3.2,-118,-9.2,141.6,144.6,-2.9,-123,-9.0
4966,136.4,140.5,-4.0,-158,-12.3,140.3,143.7,-3.3,-142,-10.5
4988,135.3,138.1,-2.8,-98,-7.8,139.3,141.5,-2.2,-88,-6.6
5018,132.9,136.3,-3.4,-126,-9.9,136.9,139.3,-2.4,-100,-7.3
5026,131.6,135.1,-3.5,-136,-10.6,135.6,138.7,-3.1,-134,-9.9
5048,130.3,133.9,-3.6,-134,-10.5,134.8,137.0,-2.1,-86,-6.4
5078,127.7,131.2,-3.5,-132,-10.4,132.7,134.7,-2.0,-86,-6.4
5088,126.3,130.7,-4.4,-173,-13.5,131.6,134.4,-2.7,-118,-8.8
5108,125.0,128.7,-3.6,-132,-10.4,130.6,132.5,-1.8,-74,-5.5
5138,127.7,126.2,1.6,12,6.6,132.7,130.5,2.2,122,9.3
5147,135.3,125.9,9.4,365,30.1,130.0,130.5,-0.4,-0,-4.4
5168,142.7,128.8,13.7,477,44.4,129.0,131.7,-2.7,-123,-9.4
5198,151.4,142.7,8.5,157,30.1,138.2,130.4,7.5,385,29.1
5206,150.3,146.0,3.4,43,10.5,146.9,131.7,15.2,711,53.3
5228,145.6,152.3,-6.7,-262,-22.2,148.8,140.0,9.1,200,34.8
5258,142.2,148.0,-5.7,-166,-18.0,146.9,148.2,-1.4,-80,-6.3
5266,141.1,146.7,-5.5,-170,-17.8,145.6,148.8,-3.2,-151,-11.4
5288,140.1,143.5,-3.3,-119,-9.3,144.3,146.9,-2.6,-109,-8.2
5318,137.7,140.8,-3.1,-115,-9.0,141.6,144.5,-2.9,-122,-8.9
5326,136.4,140.4,-3.9,-157,-12.1,140.3,143.7,-3.3,-141,-10.4
5348,135.3,138.1,-2.8,-100,-7.9,139.3,141.5,-2.2,-89,-6.6
5378,132.9,136.3,-3.3,-126,-9.8,136.9,139.3,-2.4,-100,-7.3
5386,131.6,135.1,-3.5,-134,-10.5,135.6,138.8,-3.1,-134,-9.9
5408,130.3,133.9,-3.5,-130,-10.3,134.8,137.0,-2.1,-86,-6.4
5438,127.7,131.2,-3.5,-130,-10.3,132.7,134.7,-2.0,-85,-6.4
5446,126.3,130.8,-4.5,-177,-13.8,131.6,134.5,-2.8,-123,-9.2
5468,125.0,128.6,-3.6,-128,-10.1,130.6,132.5,-1.8,-72,-5.4
5498,127.7,126.2,1.5,35,6.8,132.7,130.5,2.2,122,9.3
5506,135.3,126.0,9.5,363,29.8,130.0,130.5,-0.5,-0,-4.4
5528,142.7,129.1,13.5,475,43.6,129.0,131.7,-2.7,-125,-9.4
5558,151.4,142.6,8.4,161,30.3,138.2,130.6,7.7,391,29.8
5566,150.3,145.8,4.0,48,11.7,146.9,131.6,15.2,712,53.5
5588,145.6,152.2,-6.7,-263,-22.1,148.8,139.2,9.0,206,35.2
5618,142.2,148.0,-5.7,-168,-18.1,146.9,148.2,-1.4,-79,-6.3
5626,141.1,146.6,-5.5,-171,-17.7,145.6,148.8,-3.2,-153,-11.5
5648,140.1,143.5,-3.4,-122,-9.5,144.3,146.9,-2.6,-109,-8.1
5678,137.7,140.8,-3.1,-113,-8.9,141.6,144.6,-2.9,-121,-8.9
5686,136.4,140.4,-4.0,-155,-12.1,140.3,143.7,-3.3,-141,-10.4
5708,135.3,138.1,-2.7,-97,-7.8,139.3,141.5,-2.2,-89,-6.6
5738,132.9,136.3,-3.4,-128,-10.0,136.9,139.3,-2.4,-99,-7.3
5746,131.6,135.1,-3.5,-135,-10.5,135.6,138.8,-3.1,-134,-9.9
5768,130.3,133.9,-3.6,-133,-10.5,134.8,137.0,-2.1,-86,-6.4
5798,127.7,131.2,-3.5,-132,-10.4,132.7,134.7,-2.0,-85,-6.4
5808,126.3,130.7,-4.4,-173,-13.6,131.6,134.3,-2.7,-117,-8.7
5828,125.0,128.6,-3.6,-132,-10.3,130.6,132.5,-1.8,-73,-5.5
5858,127.7,126.2,1.5,12,6.5,132.7,130.5,2.2,122,9.3
5866,135.3,125.4,9.1,375,31.1,130.0,130.4,-0.4,-0,-4.3
5888,142.7,129.1,13.5,460,43.3,129.0,131.7,-2.7,-123,-9.4
5918,151.4,142.8,8.4,155,29.7,138.2,130.6,7.5,388,29.6
5926,150.3,146.1,3.5,46,10.5,146.9,131.7,15.1,709,53.2
5948,145.6,152.3,-6.8,-260,-22.1,148.8,140.0,9.1,198,34.8
5978,142.2,148.0,-5.7,-167,-18.0,146.9,148.3,-1.4,-81,-6.3
5988,141.1,146.2,-5.0,-163,-15.6,145.6,148.9,-3.2,-152,-11.2
#WALK_END
